Year,Team,Conf,Seed,Wins,Losses,Win_percent,RPI,FirstRwin,SecRwin,thrdRwin,frthRwin,fifthRwin,sixthRwin
2015,N. Iowa,Missouri Valley,5,30,3,0.909090909,0.625,1,0,0,0,0,0
2015,Wyoming,Mountain West,12,25,9,0.735294118,0.552,0,0,0,0,0,0
2015,Louisville,Atlantic Coast,4,24,8,0.75,0.616,1,1,1,0,0,0
2015,UC Irvine,Big West,13,21,12,0.636363636,0.536,0,0,0,0,0,0
2015,Providence,Big East,6,22,11,0.666666667,0.599,1,0,0,0,0,0
2015,Dayton,Atlantic 10,11,25,8,0.757575758,0.594,0,0,0,0,0,0
2015,Oklahoma ,Big12,3,22,10,0.6875,0.614,1,1,0,0,0,0
2015,Albany,America East,14,24,8,0.75,0.531,0,0,0,0,0,0
2015,Michigan St.,Big10,7,23,11,0.676470588,0.622,1,1,1,1,0,0
2015,Georgia ,Southeastern,10,21,11,0.65625,0.576,0,0,0,0,0,0
2015,Virginia,Atlantic Coast,2,29,3,0.90625,0.651,1,0,0,0,0,0
2015,Belmont,OVC,15,22,10,0.6875,0.534,0,0,0,0,0,0
2015,Duke,Atlantic Coast,1,29,4,0.878787879,0.682,1,1,1,1,1,1
2015,R. Morris,Northeast,16,19,14,0.575757576,0.507,0,0,0,0,0,0
2015,San Diego St.,Mountain West,8,26,8,0.764705882,0.598,1,0,0,0,0,0
2015,St. Johns,Big East,9,21,11,0.65625,0.579,0,0,0,0,0,0
2015,Utah,Pac-12,5,24,8,0.75,0.621,1,1,0,0,0,0
2015,SF Austin,Southland,12,29,4,0.878787879,0.584,0,0,0,0,0,0
2015,Georgetown,Big East,4,21,10,0.677419355,0.601,1,0,0,0,0,0
2015,E. Washington,Big Sky,13,26,8,0.764705882,0.55,0,0,0,0,0,0
2015,SMU,AAC,6,27,6,0.818181818,0.616,0,0,0,0,0,0
2015,UCLA,Pac-12,11,20,13,0.606060606,0.582,1,1,0,0,0,0
2015,Iowa St.,Big12,3,25,8,0.757575758,0.622,0,0,0,0,0,0
2015,UAB,Conference USA,14,19,15,0.558823529,0.523,1,0,0,0,0,0
2015,Iowa ,Big10,7,25,9,0.735294118,0.581,1,0,0,0,0,0
2015,Davidson,Atlantic 10,10,24,7,0.774193548,0.581,0,0,0,0,0,0
2015,Gonzago,West Coast,2,32,2,0.941176471,0.643,1,1,1,0,0,0
2015,N. Dakota St.,Big Sky,15,23,9,0.71875,0.539,0,0,0,0,0,0
2014,Virginia,Atlantic Coast,1,30,7,0.810810811,0.636,1,1,0,0,0,0
2014,Coastal Carolina,Big South,16,21,13,0.617647059,0.488,0,0,0,0,0,0
2014,Memphis,AAC,8,24,10,0.705882353,0.603,1,0,0,0,0,0
2014,George Washington,Atlantic 10,9,24,9,0.727272727,0.595,0,0,0,0,0,0
2014,Cincinnati,AAC,5,27,7,0.794117647,0.617,1,0,0,0,0,0
2014,Harvard,Ivy League,12,27,5,0.84375,0.587,0,0,0,0,0,0
2014,Michigan St.,Big10,4,29,9,0.763157895,0.632,1,1,1,0,0,0
2014,Delaware,Colonial,13,25,10,0.714285714,0.561,0,0,0,0,0,0
2014,UNC,Atlantic Coast,6,24,10,0.705882353,0.607,1,0,0,0,0,0
2014,Providence,Big East,11,23,12,0.657142857,0.579,0,0,0,0,0,0
2014,Iowa St.,Big12,3,28,8,0.777777778,0.638,1,1,0,0,0,0
2014,North Carolina Central,Mid-Eastern,14,28,6,0.823529412,0.535,0,0,0,0,0,0
2014,Connecticut,AAC,7,32,8,0.8,0.644,1,1,1,1,1,1
2014,St. Josephs,Atlantic 10,10,24,10,0.705882353,0.595,0,0,0,0,0,0
2014,Villanova,Big East,2,29,5,0.852941176,0.638,1,0,0,0,0,0
2014,Milwaukee,Horizon,15,21,13,0.561403509,0.515,0,0,0,0,0,0
2014,Wichita St.,Missouri Valley,1,31,1,0.96875,0.643,1,0,0,0,0,0
2014,Cal Poly,Big West,16,14,20,0.411764706,0.49,0,0,0,0,0,0
2014,Kentucky,Southeastern,8,29,11,0.725,0.641,1,1,1,1,1,0
2014,Kansas St,Big12,9,20,13,0.606060606,0.57,0,0,0,0,0,0
2014,St. Louis,Atlantic 10,5,27,7,0.794117647,0.608,1,0,0,0,0,0
2014,NC State,Atlantic Coast,12,22,14,0.611111111,0.571,0,0,0,0,0,0
2014,Louisville,Atlantic Coast,4,31,6,0.837837838,0.625,1,1,0,0,0,0
2014,Manhattan,Metro Atlantic,13,25,8,0.757575758,0.567,0,0,0,0,0,0
2014,Umass,Atlantic 10,6,24,9,0.727272727,0.605,0,0,0,0,0,0
2014,Tennessee,Southeastern,11,24,13,0.648648649,0.594,1,1,0,0,0,0
2014,Duke,Atlantic Coast,3,26,9,0.742857143,0.629,0,0,0,0,0,0
2014,Mercer,Southern,14,27,9,0.75,0.556,1,0,0,0,0,0
2014,Texas,Big12,7,24,11,0.685714286,0.592,1,0,0,0,0,0
2014,Arizona St.,Pac-12,10,21,12,0.636363636,0.575,0,0,0,0,0,0
2014,Michigan,Big10,2,28,9,0.756756757,0.636,1,1,1,0,0,0
2014,Wofford,Southern,15,20,13,0.606060606,0.503,0,0,0,0,0,0
2014,Florida,Southeastern,1,36,3,0.923076923,0.681,1,1,1,1,0,0
2014,Albany,America East,16,19,15,0.558823529,0.496,0,0,0,0,0,0
2014,Colorado,Pac-12,8,23,12,0.657142857,0.591,0,0,0,0,0,0
2014,Pitt,Atlantic Coast,9,26,10,0.722222222,0.593,1,0,0,0,0,0
2014,VCU,Atlantic 10,5,26,9,0.742857143,0.62,0,0,0,0,0,0
2014,SF Austin,Southland,12,32,3,0.914285714,0.579,1,0,0,0,0,0
2014,UCLA,Pac-12,4,28,9,0.756756757,0.627,1,1,0,0,0,0
2014,Tulsa,AAC,13,21,13,0.617647059,0.556,0,0,0,0,0,0
2014,Ohio St,Big10,6,25,10,0.714285714,0.606,0,0,0,0,0,0
2014,Dayton,Atlantic 10,11,26,11,0.702702703,0.598,1,1,1,0,0,0
2014,Syracuse,Atlantic Coast,3,28,6,0.823529412,0.619,1,0,0,0,0,0
2014,W Michigan,Mid-American,14,23,10,0.696969697,0.559,0,0,0,0,0,0
2014,New Mexico,Mountain West,7,27,7,0.794117647,0.617,0,0,0,0,0,0
2014,Stanford,Pac-12,10,23,13,0.638888889,0.593,1,1,0,0,0,0
2014,Kansas,Big12,2,25,10,0.714285714,0.651,1,0,0,0,0,0
2014,E Kentucky,OVC,15,24,10,0.705882353,0.538,0,0,0,0,0,0
2014,Arizona ,Pac-12,1,33,5,0.868421053,0.673,1,1,1,0,0,0
2014,Weber St.,Big Sky,16,19,12,0.612903226,0.507,0,0,0,0,0,0
2014,Gonzaga,West Coast,8,29,7,0.805555556,0.617,1,0,0,0,0,0
2014,Oklahoma St.,Big12,9,21,13,0.617647059,0.575,0,0,0,0,0,0
2014,Oklahoma ,Big12,5,23,10,0.696969697,0.601,0,0,0,0,0,0
2014,North Dakota St.,Big Sky,12,26,7,0.787878788,0.598,1,0,0,0,0,0
2014,San Diego St.,Mountain West,4,31,5,0.861111111,0.63,1,1,0,0,0,0
2014,New Mexico St.,Western Atlantic,13,26,10,0.722222222,0.556,0,0,0,0,0,0
2014,Baylor,Big12,6,26,12,0.684210526,0.605,1,1,0,0,0,0
2014,Nebraska,Big10,11,19,13,0.59375,0.573,0,0,0,0,0,0
2014,Creighton,Big East,3,27,8,0.771428571,0.624,1,0,0,0,0,0
2014,Lafayette,Sun Belt,14,23,12,0.657142857,0.45,0,0,0,0,0,0
2014,Oregon,Pac-12,7,24,10,0.705882353,0.605,1,0,0,0,0,0
2014,BYU,West Coast,10,23,12,0.657142857,0.595,0,0,0,0,0,0
2014,Wisconsin,Big10,2,30,8,0.789473684,0.651,1,1,1,1,0,0
2014,American,Patriot,15,20,13,0.606060606,0.521,0,0,0,0,0,0
2013,Louisville,Atlantic Coast,1,29,5,0.852941176,0.675,1,1,1,1,1,1
2013,North Carolina A&T,Mid-Eastern,16,20,16,0.555555556,0.473,0,0,0,0,0,0
2013,Colorado St.,Mountain West,8,25,8,0.757575758,0.612,1,0,0,0,0,0
2013,Missouri,Southeastern,9,23,10,0.696969697,0.59,0,0,0,0,0,0
2013,Oklahoma St.,Big12,5,24,8,0.75,0.602,0,0,0,0,0,0
2013,Oregon,Pac-12,12,26,8,0.764705882,0.596,1,1,0,0,0,0
2013,St. Louis,Atlantic 10,4,27,6,0.818181818,0.617,1,0,0,0,0,0
2013,New Mexico St.,Western Atlantic,13,24,10,0.705882353,0.57,0,0,0,0,0,0
2013,Memphis,AAC,6,30,4,0.882352941,0.63,1,0,0,0,0,0
2013,Saint Mary's,West Coast,11,28,6,0.823529412,0.608,0,0,0,0,0,0
2013,Michigan St.,Big10,3,25,8,0.757575758,0.642,1,1,0,0,0,0
2013,Valparaiso,Horizon,14,26,7,0.787878788,0.567,0,0,0,0,0,0
2013,Creighton,Big East,7,27,7,0.794117647,0.611,1,0,0,0,0,0
